epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
175,479845,2.18001,1.88707,2.34602,0.75073,0.61879,0.69554,0.48834,1.97348,1.517,2.17084,0.004258,0.004258,0.004258
176,482464,2.17633,1.87821,2.34955,0.74975,0.62145,0.69718,0.48943,1.97418,1.51699,2.17262,0.004225,0.004225,0.004225
177,485066,2.18008,1.87896,2.3501,0.74295,0.62644,0.69785,0.48933,1.97341,1.51699,2.17331,0.004192,0.004192,0.004192
178,487680,2.17577,1.87741,2.34673,0.74029,0.63177,0.69849,0.48996,1.97424,1.51361,2.17364,0.004159,0.004159,0.004159
179,490292,2.1721,1.87391,2.34619,0.73919,0.6321,0.69975,0.49127,1.97587,1.51122,2.1745,0.004126,0.004126,0.004126
180,492876,2.16786,1.86982,2.34359,0.74764,0.62157,0.69854,0.49093,1.97556,1.51123,2.17407,0.004093,0.004093,0.004093
181,495488,2.17536,1.87005,2.33944,0.74906,0.62181,0.69898,0.49161,1.97579,1.50954,2.17376,0.00406,0.00406,0.00406
182,498034,2.16965,1.86284,2.34355,0.75339,0.61997,0.69944,0.49144,1.97491,1.50949,2.17402,0.004027,0.004027,0.004027
183,500647,2.16744,1.86058,2.33918,0.74989,0.62417,0.69987,0.49043,1.97561,1.50814,2.17392,0.003994,0.003994,0.003994
184,503262,2.16168,1.85916,2.34163,0.75091,0.6189,0.70075,0.49128,1.97512,1.50655,2.17344,0.003961,0.003961,0.003961
185,505897,2.16728,1.8559,2.33609,0.76313,0.61058,0.70038,0.49155,1.9745,1.50571,2.17264,0.003928,0.003928,0.003928
186,508724,2.16113,1.86139,2.3364,0.75942,0.61777,0.70045,0.4912,1.97336,1.50501,2.17169,0.003895,0.003895,0.003895
187,511596,2.16251,1.85351,2.33543,0.76342,0.614,0.70027,0.49098,1.97267,1.50372,2.17151,0.003862,0.003862,0.003862
188,514867,2.15757,1.8479,2.33626,0.76211,0.61465,0.70141,0.49115,1.97129,1.50219,2.17157,0.003829,0.003829,0.003829
189,517466,2.15852,1.85274,2.33031,0.76442,0.61529,0.7036,0.49238,1.97026,1.5018,2.17055,0.003796,0.003796,0.003796
190,520118,2.15225,1.84612,2.33364,0.76745,0.61578,0.7035,0.49249,1.97078,1.5003,2.17134,0.003763,0.003763,0.003763
