epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
113,208382,1.70144,1.41221,1.68292,0.68618,0.6552,0.69886,0.55987,1.64038,1.42208,1.70993,0.006304,0.006304,0.006304
114,210196,1.69493,1.41683,1.67851,0.72441,0.61932,0.69898,0.56034,1.64059,1.42235,1.70978,0.006271,0.006271,0.006271
115,212005,1.70672,1.42711,1.68208,0.72098,0.62194,0.69898,0.56008,1.64061,1.42351,1.70952,0.006238,0.006238,0.006238
116,213814,1.70755,1.40389,1.68604,0.72564,0.61701,0.69984,0.56116,1.63983,1.42321,1.70927,0.006205,0.006205,0.006205
117,215634,1.68974,1.40759,1.67704,0.72781,0.6174,0.70043,0.56175,1.64017,1.42215,1.70939,0.006172,0.006172,0.006172
118,217441,1.68997,1.38451,1.68164,0.72791,0.61942,0.70173,0.56216,1.64021,1.42203,1.70907,0.006139,0.006139,0.006139
119,219249,1.68988,1.38967,1.6812,0.73147,0.62114,0.70212,0.56232,1.64018,1.4206,1.70907,0.006106,0.006106,0.006106
120,221037,1.68751,1.3913,1.67701,0.7388,0.61859,0.70274,0.56304,1.63957,1.4205,1.70926,0.006073,0.006073,0.006073
121,222856,1.69744,1.36342,1.67651,0.72901,0.62372,0.70239,0.56296,1.63768,1.42004,1.70916,0.00604,0.00604,0.00604
122,224667,1.67765,1.39318,1.67269,0.72738,0.62497,0.70225,0.56214,1.63769,1.42201,1.70914,0.006007,0.006007,0.006007
123,226476,1.68868,1.37736,1.67485,0.72822,0.62367,0.70292,0.56267,1.63751,1.42032,1.70894,0.005974,0.005974,0.005974
124,228296,1.6798,1.37067,1.67645,0.7259,0.62659,0.70287,0.56262,1.63814,1.42008,1.70913,0.005941,0.005941,0.005941
